DATE,FLOW,STAGE,TEMP,VDATE
2015-09-11,,,,140,,42942.4427
2015-09-12,,,,140,,42942.4427
2015-09-13,,,,140,,42942.4427
2015-09-14,,,,140,,42942.4427
2015-09-15,,,,140,,42942.4427
2015-09-16,,,,140,,42942.4427
2015-09-17,,,,140,,42942.4427
2015-09-18,,,,140,,42942.4427
2015-09-19,,,,140,,42942.4427
2015-09-20,,,,140,,42942.4427
2015-09-21,,,,140,,42942.4427
2015-09-22,,,,140,,42942.4427
2015-09-23,,,,140,,42942.4427
2015-09-24,,,,140,,42942.4427
2015-09-25,,,,140,,42942.4427
2015-09-26,,,,140,,42942.4427
2015-09-27,,,,140,,42942.4427
2015-09-28,,,,140,,42942.4427
2015-09-29,,,,140,,42942.4427
2015-10-01,,,,140,,42942.4427
2015-10-02,,,,140,,42931.9357
2015-10-03,,,,140,,42931.9357
2015-10-04,,,,140,,42931.9357
2015-10-05,,,,140,,42931.9357
2015-10-06,,,,140,,42564.5114
2015-10-07,,,,140,,42931.9357
2015-10-08,,,,140,,42931.9357
2015-10-09,,,,140,,42931.9357
2015-10-10,,,,140,,42931.9357
2015-10-11,,,,140,,42931.9357
2015-10-12,,,,140,,42931.9357
2015-10-13,,,,140,,42931.9357
2015-10-14,,,,140,,42931.9357
2015-10-15,,,,140,,42931.9357
2015-10-16,,,,140,,42931.9357
2015-10-17,,,,140,,42931.9357
2015-10-18,,,,140,,42931.9357
2015-10-19,,,,140,,42931.9357
2015-10-20,,,,140,,42931.9357
2015-10-21,,,,140,,42931.9357
2015-10-22,,,,140,,42931.9357
2015-10-23,,,,140,,42931.9357
2015-10-24,,,,140,,42931.9357
2015-10-25,,,,140,,42931.9357
2015-10-26,,,,140,,42931.9357
2015-10-27,,,,140,,42931.9357
2015-10-28,,,,140,,42931.9357
2015-10-29,,,,140,,42931.9357
2015-10-30,,,,140,,42931.9357
2015-10-31,,,,140,,42931.9357
2015-11-01,,,,140,,42931.9357
2015-11-02,,,,140,,42931.9357
2015-11-03,,,,140,,42931.9357
2015-11-04,,,,140,,42931.9357
2015-11-05,,,,140,,42931.9357
2015-11-06,,,,140,,42931.9357
2015-11-07,,,,140,,42931.9357
2015-11-08,,,,140,,42931.9357
2015-11-09,,,,140,,42931.9357
2015-11-10,,,,140,,42931.9357
2015-11-11,,,,140,,42931.9357
2015-11-12,,,,140,,42931.9357
2015-11-13,,,,140,,42931.9357
2015-11-14,,,,140,,42931.9357
2015-11-15,,,,140,,42931.9357
2015-11-16,,,,140,,42931.9357
2015-11-17,,,,140,,42931.9357
2015-11-18,,,,140,,42931.9357
2015-11-19,,,,140,,42931.9357
2015-11-20,,,,140,,42931.9357
2015-11-21,,,,140,,42931.9357
2015-11-22,,,,140,,42931.9357
2015-11-23,,,,140,,42931.9357
2015-11-24,,,,140,,42931.9357
2015-11-25,,,,140,,42931.9357
2015-11-26,,,,140,,42931.9357
2015-11-27,,,,140,,42931.9357
2015-11-28,,,,140,,42931.9357
2015-11-29,,,,140,,42931.9357
2015-11-30,,,,140,,42931.9357
2015-12-01,,,,140,,42931.9357
2015-12-02,,,,140,,42931.9357
2015-12-04,,,,140,,42931.9357
2015-12-05,,,,140,,42931.9357
2015-12-06,,,,140,,42931.9357
2015-12-07,,,,140,,42931.9357
2015-12-08,,,,140,,42931.9357
2015-12-09,,,,140,,42931.9357
2015-12-10,,,,140,,42931.9357
2015-12-11,,,,140,,42931.9357
2015-12-12,,,,140,,42931.9357
2015-12-13,,,,140,,42931.9357
2015-12-14,,,,140,,42931.9357
2015-12-15,,,,140,,42931.9357
2015-12-16,,,,140,,42931.9357
2015-12-17,,,,140,,42931.9357
2015-12-18,,,,140,,42931.9357
2015-12-19,,,,140,,42931.9357
2015-12-20,,,,140,,42931.9357
2015-12-21,,,,140,,42931.9357
2015-12-22,,,,140,,42931.9357
2015-12-23,,,,140,,42931.9357
2015-12-24,,,,140,,42931.9357
2015-12-25,,,,140,,42931.9357
2015-12-26,,,,140,,42931.9357
2015-12-27,,,,140,,42931.9357
2015-12-28,,,,140,,42931.9357
2015-12-30,,,,140,,42931.9357
2015-12-31,,,,140,,42931.9357
2016-01-01,,,,140,,42931.9357
2016-01-02,,,,140,,42931.9357
2016-01-03,,,,140,,42931.9357
2016-01-04,,,,140,,42931.9357
2016-01-05,,,,140,,42931.9357
2016-01-06,,,,140,,42931.9357
2016-01-07,,,,140,,42931.9357
2016-01-08,,,,140,,42931.9357
2016-01-09,,,,140,,42931.9357
2016-01-10,,,,140,,42931.9357
2016-01-11,,,,140,,42931.9357
2016-01-12,,,,140,,42931.9357
2016-01-13,,,,140,,42931.9357
2016-01-14,,,,140,,42931.9357
2016-01-15,,,,140,,42931.9357
2016-01-16,,,,140,,42931.9357
2016-01-17,,,,140,,42931.9357
2016-01-18,,,,140,,42931.9357
2016-01-19,,,,140,,42931.9357
2016-01-20,,,,140,,42931.9357
2016-01-21,,,,140,,42931.9357
2016-01-22,,,,140,,42931.9357
2016-01-23,,,,140,,42931.9357
2016-01-24,,,,140,,42931.9357
2016-01-25,,,,140,,42931.9357
2016-01-26,,,,140,,42931.9357
2016-01-27,,,,140,,42931.9357
2016-01-28,,,,140,,42931.9357
2016-01-29,,,,140,,42931.9357
2016-01-30,,,,140,,42931.9357
2016-01-31,,,,140,,42931.9357
2016-02-01,,,,140,,42931.9357
2016-02-02,,,,140,,42931.9357
2016-02-03,,,,140,,42931.9357
2016-02-04,,,,140,,42931.9357
2016-02-05,,,,140,,42931.9357
2016-02-06,,,,140,,42931.9357
2016-02-07,,,,140,,42931.9357
2016-02-08,,,,140,,42931.9357
2016-02-09,,,,140,,42931.9357
2016-02-10,,,,140,,42931.9357
2016-02-11,,,,140,,42931.9357
2016-02-12,,,,140,,42931.9357
2016-02-13,,,,140,,42931.9357
2016-02-14,,,,140,,42931.9357
2016-02-15,,,,140,,42931.9357
2016-02-16,,,,140,,42931.9357
2016-02-17,,,,140,,42931.9357
2016-02-18,,,,140,,42931.9357
2016-02-19,,,,140,,42931.9357
2016-02-20,,,,140,,42931.9357
2016-02-21,,,,140,,42931.9357
2016-02-22,,,,140,,42931.9357
2016-02-23,,,,140,,42931.9357
2016-02-24,,,,140,,42931.9357
2016-02-25,,,,140,,42931.9357
2016-02-26,,,,140,,42931.9357
2016-02-27,,,,140,,42931.9357
2016-02-28,,,,140,,42931.9357
2016-03-01,,,,140,,42931.9357
2016-03-02,,,,140,,42931.9357
2016-03-03,,,,140,,42931.9357
2016-03-04,,,,140,,42931.9357
2016-03-05,,,,140,,42931.9357
2016-03-06,,,,140,,42931.9357
2016-03-08,,,,140,,42931.9357
2016-03-09,,,,140,,42931.9357
2016-03-10,,,,140,,42931.9357
2016-03-11,,,,140,,42931.9357
2016-03-12,,,,140,,42931.9357
2016-03-13,,,,140,,42931.9357
2016-03-14,,,,140,,42931.9357
2016-03-15,,,,140,,42931.9357
2016-03-16,,,,140,,42931.9357
2016-03-17,,,,140,,42931.9357
2016-03-18,,,,140,,42931.9357
2016-03-19,,,,140,,42931.9357
2016-03-20,,,,140,,42931.9357
2016-03-21,,,,140,,42931.9357
2016-03-22,,,,140,,42931.9357
2016-03-23,,,,140,,42931.9357
2016-03-24,,,,140,,42931.9357
2016-03-25,,,,140,,42931.9357
2016-03-26,,,,140,,42931.9357
2016-03-27,,,,140,,42931.9357
2016-03-28,,,,140,,42931.9357
2016-03-29,,,,140,,42931.9357
2016-03-30,,,,140,,42931.9357
2016-03-31,,,,140,,42931.9357
2016-04-01,,,,140,,42931.9357
2016-04-02,,,,140,,42931.9357
2016-04-03,,,,140,,42931.9357
2016-04-04,,,,140,,42931.9357
2016-04-05,,,,140,,42931.9357
2016-04-06,,,,140,,42931.9357
2016-04-07,,,,140,,42931.9357
2016-04-08,,,,140,,42931.9357
2016-04-09,,,,140,,42931.9357
2016-04-10,,,,140,,42931.9357
2016-04-11,,,,140,,42931.9357
2016-04-12,,,,140,,42931.9357
2016-04-13,,,,140,,42931.9357
2016-04-14,,,,140,,42931.9357
2016-04-15,,,,140,,42931.9357
2016-04-16,,,,140,,42931.9357
2016-04-17,,,284,140,,42931.9357
2016-04-18,,,,140,,42931.9357
2016-04-19,,,,140,,42931.9357
2016-04-20,,,,140,,42931.9357
2016-04-21,,,,140,,42931.9357
2016-04-22,,,,140,,42931.9357
2016-04-23,,,,140,,42931.9357
2016-04-24,,,,140,,42931.9357
2016-04-25,,,,140,,42931.9357
2016-04-26,,,,140,,42931.9357
2016-04-27,,,,140,,42931.9357
2016-04-28,,,,140,,42931.9357
2016-04-29,,,,140,,42931.9357
2016-04-30,,,,140,,42931.9357
2016-05-01,,,284,140,,42931.9357
2016-05-02,,,,140,,42931.9357
2016-05-04,,,,140,,42931.9357
2016-05-05,,,,140,,42931.9357
2016-05-06,,,,140,,42931.9357
2016-05-07,,,,140,,42931.9357
2016-05-08,,,,140,,42931.9357
2016-05-09,,,,140,,42931.9357
2016-05-10,,,,140,,42931.9357
2016-05-11,,,,140,,42931.9357
2016-05-12,,,,140,,42931.9357
2016-05-13,,,,140,,42931.9357
2016-05-14,,,,140,,42931.9357
2016-05-15,,,,140,,42931.9357
2016-05-16,,,,140,,42931.9357
2016-05-17,,,,140,,42931.9357
2016-05-18,,,,140,,42931.9357
2016-05-19,,,,140,,42931.9357
2016-05-20,,,,140,,42931.9357
2016-05-21,,,,140,,42931.9357
2016-05-22,,,,140,,42931.9357
2016-05-23,,,,140,,42931.9357
2016-05-24,,,,140,,42931.9357
2016-05-25,,,,140,,42931.9357
2016-05-26,,,,140,,42931.9357
2016-05-27,,,,140,,42931.9357
2016-05-28,,,,140,,42931.9357
2016-05-29,,,,140,,42931.9357
2016-05-30,,,,140,,42931.9357
2016-05-31,,,,140,,42931.9357
2016-06-01,,,,140,,42931.9357
2016-06-02,,,,140,,42931.9357
2016-06-03,,,,140,,42931.9357
2016-06-04,,,,140,,42931.9357
2016-06-05,,,,140,,42931.9357
2016-06-06,,,,140,,42931.9357
2016-06-07,,,,140,,42931.9357
2016-06-08,,,,140,,42931.9357
2016-06-09,,,,140,,42931.9357
2016-06-10,,,,140,,42931.9357
2016-06-11,,,66.92,140,,42931.9357
2016-06-12,,,,140,,42931.9357
2016-06-13,,,,140,,42931.9357
2016-06-14,,,,140,,42931.9357
2016-06-15,,,,140,,42931.9357
2016-06-16,,,,140,,42931.9357
2016-06-17,,,,140,,42931.9357
2016-06-18,,,,140,,42931.9357
2016-06-19,,,63.86,140,,42931.9357
2016-06-20,,,,140,,42931.9357
2016-06-21,,,67.1,140,,42931.9357
2016-06-22,,,,140,,42931.9357
2016-06-23,,,,140,,42931.9357
2016-06-24,,,,140,,42931.9357
2016-06-25,,,,140,,42931.9357
2016-06-26,,,,140,,42931.9357
2016-06-27,,,,140,,42931.9357
2016-06-28,,,,140,,42931.9357
2016-06-29,,,,140,,42931.9357
2016-06-30,,,,140,,42931.9357
2016-07-01,,,,140,,42931.9357
2016-07-02,,,,140,,42931.9357
2016-07-03,,,,140,,42931.9357
2016-07-04,,,,140,,42931.9357
2016-07-05,,,,140,,42931.9357
2016-07-06,,,,140,,42931.9357
2016-07-08,,,,140,,42931.9357
2016-07-09,,,,140,,42931.9357
2016-07-10,,,,140,,42931.9357
2016-07-11,,,,140,,42931.9357
2016-07-12,,,,140,,42931.9357
2016-07-13,,,71.24,140,,42931.9357
2016-07-14,,,,140,,42931.9357
2016-07-15,,,,140,,42931.9357
2016-07-16,,,,140,,42931.9357
2016-07-17,,,,140,,42931.9357
2016-07-18,,,,140,,42931.9357
2016-07-19,,,,140,,42931.9357
2016-07-20,,,,140,,42931.9357
2016-07-21,,,71.96,140,,42931.9357
2016-07-22,,,,140,,42931.9357
2016-07-23,,,,140,,42931.9357
2016-07-24,,,,140,,42931.9357
2016-07-25,,,,140,,42931.9357
2016-07-26,,,,140,,42931.9357
2016-07-27,,,,140,,42931.9357
2016-07-28,,,,140,,42931.9357
2016-07-29,,,,140,,42931.9357
2016-07-30,,,,140,,42931.9357
2016-07-31,,,,140,,42931.9357
2016-08-01,,,,140,,42931.9357
2016-08-02,,,,140,,42931.9357
2016-08-03,,,,140,,42931.9357
2016-08-04,,,,140,,42931.9357
2016-08-05,,,,140,,42931.9357
2016-08-06,,,,140,,42931.9357
2016-08-07,,,,140,,42931.9357
2016-08-08,,,,140,,42931.9357
2016-08-09,,,,140,,42931.9357
2016-08-10,,,,140,,42931.9357
2016-08-11,,,,140,,42931.9357
2016-08-12,,,73.4,140,,42931.9357
2016-08-13,,,75.2,140,,42931.9357
2016-08-14,,,,140,,42931.9357
2016-08-15,,,,140,,42931.9357
2016-08-16,,,72.32,140,,42931.9357
2016-08-17,,,,140,,42931.9357
2016-08-18,,,,140,,42931.9357
2016-08-19,,,,140,,42931.9357
2016-08-20,,,,140,,42931.9357
2016-08-21,,,,140,,42931.9357
2016-08-22,,,,140,,42931.9357
2016-08-23,,,72.86,140,,42931.9357
2016-08-24,,,,140,,42931.9357
2016-08-25,,,,140,,42931.9357
2016-08-26,,,,140,,42931.9357
2016-08-27,,,,140,,42931.9357
2016-08-28,,,,140,,42931.9357
2016-08-29,,,,140,,42931.9357
2016-08-30,,,,140,,42931.9357
2016-08-31,,,,140,,42931.9357
2016-09-01,,,,140,,42931.9357
2016-09-02,,,,140,,42931.9357
2016-09-03,,,,140,,42931.9357
2016-09-04,,,,140,,42931.9357
2016-09-05,,,,140,,42931.9357
2016-09-06,,,,140,,42931.9357
2016-09-07,,,,140,,42931.9357
2016-09-08,,,,140,,42931.9357
2016-09-09,,,,140,,42931.9357
2016-09-10,,,,140,,42931.9357
2016-09-11,,,,140,,42931.9357
2016-09-12,,,,140,,42931.9357
2016-09-13,,,,140,,42931.9357
2016-09-14,,,,140,,42931.9357
2016-09-15,,,,140,,42931.9357
2016-09-16,,,,140,,42931.9357
2016-09-17,,,,140,,42931.9357
2016-09-18,,,,140,,42931.9357
2016-09-19,,,,140,,42931.9357
2016-09-20,,,,140,,42931.9357
2016-09-21,,,,140,,42931.9357
2016-09-22,,,,140,,42931.9357
2016-09-23,,,,140,,42931.9357
2016-09-24,,,,140,,42931.9357
2016-09-25,,,,140,,42931.9357
2016-09-26,,,,140,,42931.9357
2016-09-27,,,,140,,42931.9357
2016-09-28,,,,140,,42931.9357
2016-09-29,,,,140,,42931.9357
2016-09-30,,,,140,,42931.9357
2016-10-01,,,,140,,42942.443
2016-10-02,,,,140,,42942.443
2016-10-03,,,,140,,42942.443
2016-10-04,,,,140,,42942.443
2016-10-05,,,,140,,42942.443
2016-10-06,,,284,140,,42942.443
2016-10-07,,,,140,,42942.443
2016-10-08,,,,140,,42942.443
2016-10-09,,,,140,,42942.443
2016-10-10,,,,140,,42942.443
2016-10-11,,,,140,,42942.443
2016-10-12,,,,140,,42942.443
2016-10-13,,,,140,,42942.443
2016-10-14,,,,140,,42942.443
2016-10-15,,,,140,,42942.443
2016-10-16,,,,140,,42942.443
2016-10-17,,,,140,,42942.443
2016-10-18,,,,140,,42942.443
2016-10-19,,,,140,,42942.443
2016-10-20,,,,140,,42942.443
2016-10-21,,,,140,,42942.443
2016-10-22,,,,140,,42942.443
2016-10-23,,,,140,,42942.443
2016-10-24,,,,140,,42942.443
2016-10-25,,,,140,,42942.443
2016-10-26,,,,140,,42942.443
2016-10-27,,,,140,,42942.443
2016-10-28,,,,140,,42942.443
2016-10-29,,,,140,,42942.443
2016-10-30,,,,140,,42942.443
2016-10-31,,,,140,,42942.443
2016-11-01,,,,140,,42942.443
2016-11-03,,,55.04,140,,42942.443
2016-11-04,,,,140,,42942.443
2016-11-05,,,,140,,42942.443
2016-11-06,,,,140,,42942.443
2016-11-07,,,,140,,42942.443
2016-11-08,,,,140,,42942.443
2016-11-09,,,55.76,140,,42942.443
2016-11-10,,,,140,,42942.443
2016-11-11,,,,140,,42942.443
2016-11-12,,,,140,,42942.443
2016-11-13,,,,140,,42942.443
2016-11-14,,,,140,,42942.443
2016-11-15,,,,140,,42942.443
2016-11-16,,,,140,,42942.443
2016-11-17,,,,140,,42942.443
2016-11-18,,,,140,,42942.443
2016-11-19,,,,140,,42942.443
2016-11-20,,,,140,,42942.443
2016-11-21,,,,140,,42942.443
2016-11-22,,,,140,,42942.443
2016-11-23,,,,140,,42942.443
2016-11-24,,,,140,,42942.443
2016-11-25,,,,140,,42942.443
2016-11-26,,,,140,,42942.443
2016-11-27,,,,140,,42942.443
2016-11-28,,,,140,,42942.443
2016-11-29,,,,140,,42942.443
2016-11-30,,,,140,,42942.443
2016-12-01,,,,140,,42942.443
2016-12-02,,,,140,,42942.443
2016-12-03,,,,140,,42942.443
2016-12-04,,,,140,,42942.443
2016-12-05,,,,140,,42942.443
2016-12-06,,,,140,,42942.443
2016-12-07,,,,140,,42942.443
2016-12-08,,,,140,,42942.443
2016-12-09,,,,140,,42942.443
2016-12-10,,,,140,,42942.443
2016-12-11,,,,140,,42942.443
2016-12-12,,,,140,,42942.443
2016-12-13,,,,140,,42942.443
2016-12-14,,,,140,,42942.443
2016-12-15,,,,140,,42942.443
2016-12-16,,,,140,,42942.443
2016-12-17,,,,140,,42942.443
2016-12-18,,,,140,,42942.443
2016-12-19,,,,140,,42942.443
2016-12-20,,,,140,,42942.443
2016-12-21,,,,140,,42942.443
2016-12-22,,,,140,,42942.443
2016-12-23,,,,140,,42942.443
2016-12-24,,,,140,,42942.443
2016-12-25,,,,140,,42942.443
2016-12-26,,,,140,,42942.443
2016-12-27,,,,140,,42942.443
2016-12-28,,,,140,,42942.443
2016-12-29,,,,140,,42942.443
2016-12-30,,,,140,,42942.443
2016-12-31,,,,140,,42942.443
2017-01-01,,,,140,,42942.443
2017-01-02,,,,140,,42942.443
2017-01-03,,,,140,,42942.443
2017-01-04,,,,140,,42942.443
2017-01-05,,,,140,,42942.443
2017-01-06,,,,140,,42942.443
2017-01-07,,,,140,,42942.443
2017-01-08,,,,140,,42942.443
2017-01-09,,,,140,,42942.443
2017-01-10,,,,140,,42942.443
2017-01-11,,,,140,,42942.443
2017-01-12,,,,140,,42942.443
2017-01-13,,,,140,,42942.443
2017-01-14,,,,140,,42942.443
2017-01-15,,,,140,,42942.443
2017-01-16,,,,140,,42942.443
2017-01-17,,,,140,,42942.443
2017-01-18,,,,140,,42942.443
2017-01-19,,,,140,,42942.443
2017-01-20,,,,140,,42942.443
2017-01-21,,,,140,,42942.443
2017-01-22,,,,140,,42942.443
2017-01-23,,,,140,,42942.443
2017-01-24,,,,140,,42942.443
2017-01-25,,,,140,,42942.443
2017-01-26,,,,140,,42942.443
2017-01-27,,,,140,,42942.443
2017-01-28,,,,140,,42942.443
2017-01-29,,,,140,,42942.443
2017-01-30,,,,140,,42942.443
2017-01-31,,,,140,,42942.443
2017-02-01,,,,140,,42942.443
2017-02-02,,,,140,,42942.443
2017-02-03,,,,140,,42942.443
2017-02-04,,,,140,,42942.443
2017-02-05,,,,140,,42942.443
2017-02-06,,,,140,,42942.443
2017-02-07,,,,140,,42942.443
2017-02-08,,,,140,,42942.443
2017-02-09,,,,140,,42942.443
2017-02-10,,,,140,,42942.443
2017-02-11,,,,140,,42942.443
2017-02-12,,,,140,,42942.443
2017-02-13,,,,140,,42942.443
2017-02-14,,,,140,,42942.443
2017-02-15,,,,140,,42942.443
2017-02-16,,,,140,,42942.443
2017-02-17,,,,140,,42942.443
2017-02-18,,,,140,,42942.443
2017-02-19,,,,140,,42942.443
2017-02-20,,,,140,,42942.443
2017-02-21,,,,140,,42942.443
2017-02-22,,,,140,,42942.443
2017-02-23,,,,140,,42942.443
2017-02-24,,,,140,,42942.443
2017-02-25,,,,140,,42942.443
2017-02-26,,,,140,,42942.443
2017-02-27,,,,140,,42942.443
2017-02-28,,,,140,,42942.443
2017-03-01,,,,140,,42942.443
2017-03-02,,,,140,,42942.443
2017-03-03,,,,140,,42942.443
2017-03-04,,,,140,,42942.443
2017-03-05,,,,140,,42942.443
2017-03-06,,,,140,,42942.443
2017-03-07,,,,140,,42942.443
2017-03-08,,,,140,,42942.443
2017-03-09,,,,140,,42942.443
2017-03-10,,,,140,,42942.443
2017-03-11,,,,140,,42942.443
2017-03-12,,,,140,,42942.443
2017-03-13,,,,140,,42942.443
2017-03-14,,,,140,,42942.443
2017-03-15,,,,140,,42942.443
2017-03-16,,,,140,,42942.443
2017-03-17,,,,140,,42942.443
2017-03-18,,,,140,,42942.443
2017-03-19,,,,140,,42942.443
2017-03-20,,,,140,,42942.443
2017-03-21,,,,140,,42942.443
2017-03-22,,,,140,,42942.443
2017-03-23,,,,140,,42942.443
2017-03-24,,,,140,,42942.443
2017-03-25,,,,140,,42942.443
2017-03-26,,,,140,,42942.443
2017-03-27,,,,140,,42942.443
2017-03-28,,,,140,,42942.443
2017-03-29,,,,140,,42942.443
2017-03-30,,,,140,,42942.443
2017-03-31,,,,140,,42942.443
2017-04-01,,,,140,,42942.443
2017-04-02,,,,140,,42942.443
2017-04-03,,,,140,,42942.443
2017-04-04,,,,140,,42942.443
2017-04-05,,,,140,,42942.443
2017-04-06,,,,140,,42942.443
2017-04-07,,,,140,,42942.443
2017-04-08,,,,140,,42942.443
2017-04-09,,,,140,,42942.443
2017-04-10,,,,140,,42942.443
2017-04-11,,,,140,,42942.443
2017-04-12,,,,140,,42942.443
2017-04-13,,,,140,,42942.443
2017-04-14,,,,140,,42942.443
2017-04-15,,,,140,,42942.443
2017-04-16,,,,140,,42942.443
2017-04-17,,,,140,,42942.443
2017-04-18,,,,140,,42942.443
2017-04-19,,,,140,,42942.443
2017-04-20,,,,140,,42942.443
2017-04-21,,,,140,,42942.443
2017-04-22,,,,140,,42942.443
2017-04-23,,,,140,,42942.443
2017-04-24,,,,140,,42942.443
2017-04-25,,,,140,,42942.443
2017-04-26,,,,140,,42942.443
2017-04-27,,,,140,,42942.443
2017-04-28,,,,140,,42942.443
2017-04-29,,,,140,,42942.443
2017-04-30,,,,140,,42942.443
2017-05-01,,,,140,,42942.443
2017-05-02,,,,140,,42942.443
2017-05-03,,,,140,,42942.443
2017-05-04,,,,140,,42942.443
2017-05-05,,,,140,,42942.443
2017-05-06,,,,140,,42942.443
2017-05-07,,,,140,,42942.443
2017-05-08,,,,140,,42942.443
2017-05-09,,,,140,,42942.443
2017-05-10,,,,140,,42942.443
2017-05-11,,,,140,,42942.443
2017-05-12,,,,140,,42942.443
2017-05-13,,,,140,,42942.443
2017-05-14,,,,140,,42942.443
2017-05-15,,,,140,,42942.443
2017-05-16,,,,140,,42942.443
2017-05-17,,,,140,,42942.443
2017-05-18,,,,140,,42942.443
2017-05-19,,,,140,,42942.443
2017-05-20,,,,140,,42942.443
2017-05-21,,,,140,,42942.443
2017-05-22,,,,140,,42942.443
2017-05-23,,,,140,,42942.443
2017-05-24,,,,140,,42942.443
2017-05-25,,,,140,,42942.443
2017-05-26,,,,140,,42942.443
2017-05-27,,,,140,,42942.443
2017-05-28,,,,140,,42942.443
2017-05-29,,,,140,,42942.443
2017-05-30,,,,140,,42942.443
2017-05-31,,,,140,,42942.443
2017-06-01,,,,140,,42942.443
2017-06-02,,,,140,,42942.443
2017-06-03,,,,140,,42942.443
2017-06-04,,,,140,,42942.443
2017-06-05,,,,140,,42942.443
2017-06-06,,,,140,,42942.443
2017-06-07,,,,140,,42942.443
2017-06-08,,,,140,,42942.443
2017-06-09,,,,140,,42942.443
2017-06-10,,,,140,,42942.443
2017-06-11,,,,140,,42942.443
2017-06-12,,,,140,,42942.443
2017-06-13,,,,140,,42942.443
2017-06-14,,,,140,,42942.443
2017-06-15,,,,140,,42942.443
2017-06-16,,,,140,,42942.443
2017-06-17,,,,140,,42942.443
2017-06-18,,,,140,,42942.443
2017-06-19,,,,140,,42942.443
2017-06-20,,,,140,,42942.443
2017-06-21,,,,140,,42942.443
2017-06-22,,,,140,,42942.443
2017-06-23,,,,140,,42942.443
2017-06-24,,,,140,,42942.443
2017-06-25,,,,140,,42942.443
2017-06-26,,,,140,,42942.443
2017-06-27,,,,140,,42942.443
2017-06-28,,,,140,,42942.443
2017-06-29,,,,140,,42942.443
2017-06-30,,,,140,,42942.443
2017-07-01,,,,140,,42942.443
2017-07-02,,,,140,,42942.443
2017-07-03,,,,140,,42942.443
2017-07-04,,,,140,,42942.443
2017-07-05,,,,140,,42942.443
2017-07-06,,,,140,,42942.443
2017-07-07,,,,140,,42942.443
2017-07-08,,,,140,,42942.443
